STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
USC00045983,1968,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",148.3,,148.3,0,94,0,56,0,11,0,56,,25,0,0,0,136,0,7,0,135,0,17,0,,,,,,,-15.6,"0,0111, ",914," ,0,1228,+",597," ,0,0109, ",70.4," ,0,1210, ",36.7,"0,0728, ",-4.4,"0,1008",-4.4,"0,1008",-4.4,"0,1008",-7.8,"0,1130",-9.4,"0,1220",0,"0,0524",-2.8,"0,0506",-5.6,"0,0422",-6.7,"0,0213",-13.3,"0,0128",3103.9,9,3103.9,0,927.3," ,0",4394," ,0",9.68,0,16.8,0,2.56,0,,,,
USC00045983,1969,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",162.7,,162.7,0,105,0,62,0,13,0,83,,32,0,0,0,140,0,7,0,138,0,18,0,,,,,,,-14.4,"0,0129, ",991," ,0,0228, ",472," ,0,0111, ",63," ,0,1211, ",35.6,"0,0722, ",0,"0,1003",-3.3,"0,1004",-4.4,"0,1117",,,,,0,"0,0527",-2.8,"0,0430",-4.4,"0,0324",-6.7,"0,0311",-10.6,"0,0222",3465.8,8,3465.8,0,1088.4," ,0",4148," ,0",9.74,0,16.43,0,3.04,0,,,,
USC00045983,1970,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",199.9,,199.9,0,95,0,49,0,13,0,44,,19,0,0,0,126,0,3,0,137,0,31,0,,,,,,,-12.8,"0,1222, ",762," ,0,1204, ",653," ,0,1127, ",68.1," ,0,1127, ",35.6,"0,0714,+",-2.2,"0,0914",-2.2,"0,0914",-6.1,"0,1027",-6.7,"0,1212",-10,"0,1218",-2.2,"0,0513",-2.2,"0,0513",-5,"0,0512",-8.9,"0,0302",-8.9,"0,0302",3106,0,3106,0,947.4," ,0",3481," ,0",9.99,0,16.96,0,3.02,0,,,,
USC00045983,1971,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",187,,187,0,94,0,47,0,5,0,56,,25,0,0,0,156,0,11,0,119,0,26,0,,,,,,,-12.8,"0,1228, ",508," ,0,1225,+",274," ,0,0112, ",49.8," ,0,0115, ",38.3,"0,0811, ",0,"0,1015",-3.9,"0,1017",-5,"0,1028",-7.2,"0,1106",-10.6,"0,1211",-0.6,"0,0517",-3.9,"0,0421",-5.6,"0,0410",-9.4,"0,0302",-9.4,"0,0302",3435.3,3,3435.3,0,689.2," ,0",2638," ,0",9.02,0,15.65,0,2.4,0,,,,
USC00045983,1972,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",203.6,,203.6,0,97,0,60,0,4,0,54,,16,0,4,0,130,0,17,0,131,0,25,0,,,,,,,-20.6,"0,1210,+",457," ,0,0127, ",224," ,0,0126, ",42.7," ,0,1113, ",39.4,"0,0807,+",-1.1,"0,0912",-4.4,"0,1027",-4.4,"0,1027",-6.7,"0,1030",-14.4,"0,1205",-1.1,"0,0611",-3.3,"0,0429",-4.4,"0,0422",-6.7,"0,0225",-14.4,"0,0202",3412.4,4,3412.4,0,617.8," ,0",1367," ,0",9.55,0,16.3,0,2.8,0,,,,
USC00045983,1973,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",230.7,,230.7,0,111,0,72,0,17,0,50,,31,0,0,0,127,0,2,0,145,0,31,0,,,,,,,-12.2,"0,0107,+",203," ,0,0110, ",274," ,0,1130, ",98.6," ,0,1130, ",36.1,"0,0727,+",-1.1,"0,1003",-3.3,"0,1102",-5,"0,1119",,,,,0,"0,0501",-2.8,"0,0418",-5,"0,0329",-9.4,"0,0127",-9.4,"0,0127",3385.4,4,3385.4,0,1251.7," ,0",3166," ,0",10,0,16.68,0,3.33,0,,,,
USC00045983,1974,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",174,,174,0,77,0,52,0,13,0,30,,22,0,0,0,139,0,11,0,144,0,20,0,,,,,,,-14.4,"0,0107, ",279," ,0,1229,+",272," ,0,1227, ",128.8," ,0,0115, ",36.1,"0,0725, ",-0.6,"0,1006",-2.2,"0,1022",-4.4,"0,1128",-7.8,"0,1224",-10,"0,1229",0,"0,0520",-2.2,"0,0518",-9.4,"0,0309",-9.4,"0,0309",-9.4,"0,0309",3365.4,4,3365.4,0,1108.5," ,0",1599," ,0",9.87,0,16.98,0,2.76,0,,,,
USC00045983,1975,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",142.8,,142.8,0,100,0,54,0,9,0,71,,29,0,0,0,154,0,9,0,129,0,16,0,,,,,,,-12.8,"0,0130, ",838," ,0,0205, ",638," ,0,0131, ",73.7," ,0,0212, ",36.7,"0,0726, ",-0.6,"0,1011",-5.6,"0,1109",-5.6,"0,1109",-8.3,"0,1111",,,0,"0,0511",-5,"0,0425",-5,"0,0425",-7.2,"0,0416",-8.9,"0,0222",3409.3,3,3409.3,0,800.7," ,0",3694," ,0",9.05,0,15.64,0,2.46,0,,,,
USC00045983,1976,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",120.7,,120.7,0,66,0,41,0,1,0,18,,16,0,0,0,150,0,4,0,135,0,9,0,,,,,,,-12.2,"0,0205, ",152," ,0,0303, ",211," ,0,0410, ",47.8," ,0,0407, ",35.6,"0,0726, ",-1.1,"0,1018",-3.3,"0,1027",-7.8,"0,1126",-7.8,"0,1126",-11.1,"0,1127",0,"0,0701",-7.2,"0,0402",-7.2,"0,0402",-7.2,"0,0402",-9.4,"0,0305",3364.7,7,3364.7,0,361.1," ,0",1116," ,0",9.82,0,17.29,0,2.36,0,,,,
USC00045983,1977,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",197.5,,197.5,0,92,0,57,0,5,0,44,,15,0,0,0,156,0,6,0,126,0,33,0,,,,,,,-15,"0,0106, ",356," ,0,1122, ",378," ,0,1121, ",55.1," ,0,1222, ",37.8,"0,0802, ",-1.1,"0,1001",-3.3,"0,1103",-5.6,"0,1109",-6.7,"0,1118",-11.1,"0,1119",-1.1,"0,0527",-2.2,"0,0518",-8.9,"0,0314",-8.9,"0,0314",-8.9,"0,0314",3256.5,5,3256.5,0,601.9," ,0",1644," ,0",9.51,0,16.8,0,2.22,0,,,,
