STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00049621,1991,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",1069.9,,1069.9,0,78,0,50,0,16,0,0,,0,0,0,0,21,0,0,0,208,0,117,0,,,,,-2.2,"0,0130, ",0," ,0,1231,+",0," ,0,1231,+",82.3," ,0,0326, ",44.4,"0,0705,+",,,-1.7,"0,1130",,,,,,,,,0,"0,0326",-2.2,"0,0130",,,,,1714.1,1,1714.1,0,,,,,1035.2," ,0",0," ,0",16.81,0,24.41,0,9.21,0,,
USC00049621,1992,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",912.8,,912.8,0,84,0,66,0,27,0,0,,0,0,0,0,32,0,0,0,209,0,95,0,,,,,-3.3,"0,1205, ",0," ,0,1231,+",0," ,0,1231,+",70.9," ,0,1231, ",41.7,"0,0813, ",,,-0.6,"0,1109",-3.3,"0,1205",,,,,,,-0.6,"0,0216",,,,,,,1474.7,7,1474.7,0,,,,,1695.5," ,0",0," ,0",16.35,0,23.47,0,9.23,0,9247,0
USC00049621,1993,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",720.2,,720.2,0,101,0,69,0,21,0,,,0,0,0,0,41,0,0,0,182,0,71,0,,,,,-3.9,"0,1124,+",,,0," ,0,1231,+",183.9," ,0,1208, ",42.2,"0,0803,+",,,-1.1,"0,1116",-3.3,"0,1123",,,,,,,0,"0,0227",-2.2,"0,0216",,,,,1974.1,1,1974.1,0,,,,,1776.3," ,0",0," ,0",14.95,0,21.62,0,8.28,0,,
USC00049621,1994,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",906.4,,906.4,0,83,0,48,0,9,0,0,,0,0,0,0,32,0,0,0,211,0,100,0,,,,,-2.8,"0,1231,+",0," ,0,1231,+",0," ,0,1231,+",95.5," ,0,0124, ",42.2,"0,0716, ",1231.3,0,-0.6,"0,1103",-2.2,"0,1118",,,,,,,0,"0,0323",,,,,,,1545.6,6,1545.6,0,8.72,0,19.16,0,912.5," ,0",0," ,0",15.8,0,23.15,0,8.44,0,,
USC00049621,1995,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",732.9,,732.9,0,109,0,74,0,38,0,0,,0,0,0,0,10,0,0,0,198,0,83,0,,,,,-1.1,"0,0324,+",0," ,0,1231,+",0," ,0,1231,+",254.8," ,0,1212, ",41.1,"0,0805, ",,,0,"0,1224",,,,,,,,,0,"0,0325",,,,,,,1949.5,5,1949.5,0,,,,,2956," ,0",0," ,0",15.92,0,22.75,0,9.09,0,,
USC00049621,1996,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",1007,,1007,0,107,0,85,0,26,0,0,,0,0,0,0,15,0,0,0,201,0,101,0,,,,,-2.2,"0,1222, ",0," ,0,1231,+",0," ,0,1231,+",155.7," ,0,1231, ",42.8,"0,0813, ",,,-2.2,"0,1222",-2.2,"0,1222",,,,,,,0,"0,0229",,,,,,,1453.5,5,1453.5,0,,,19.22,0,2271.1," ,0",0," ,0",16.56,0,23.37,0,9.77,0,,
USC00049621,1997,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",860.5,,860.5,0,85,0,58,0,12,0,0,,0,0,0,0,22,0,0,0,204,0,83,0,,,,,-3.9,"0,0206,+",0," ,0,1231,+",0," ,0,1231,+",78.7," ,0,1119, ",42.8,"0,0808, ",,,0,"0,1212",,,,,,,,,-1.1,"0,0417",-2.2,"0,0411",,,,,1576.7,7,1576.7,0,10.39,0,20.91,0,1375.4," ,0",0," ,0",16.23,0,23.11,0,9.34,0,,
USC00049621,1998,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",831.7,,831.7,0,154,0,109,0,46,0,,,0,0,0,0,18,0,1,0,172,0,76,0,,,,,-5,"0,1221, ",,,0," ,0,1231,+",141," ,0,0324, ",44.4,"0,0903, ",,,0,"0,1204",-2.2,"0,1206",-5,"0,1221",,,,,0,"0,0222",,,,,,,1913.4,4,1913.4,0,9.9,0,19.27,0,2940.3," ,0",0," ,0",15.14,0,21.14,0,9.12,0,,
USC00049621,1999,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",921.6,,921.6,0,79,0,56,0,16,0,0,,0,0,0,0,23,0,0,0,204,0,100,0,,,,,-5,"0,0215, ",0," ,0,1231,+",0," ,0,1231,+",129.5," ,0,0207, ",44.4,"0,0713, ",1273.1,0,0,"0,1218",,,,,,,,,0,"0,0411",-5,"0,0215",-5,"0,0215",,,1855.2,2,1855.2,0,9.57,0,20,0,1244," ,0",0," ,0",15.98,0,22.9,0,9.05,0,,
USC00049621,2000,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",879.5,,879.5,0,99,0,68,0,29,0,,,,,0,0,8,0,0,0,193,0,99,0,,,,,-1.7,"0,0103, ",,,,,95," ,0,0213, ",42.8,"0,0801, ",,,-0.6,"0,1114",,,,,,,,,-1.1,"0,0212",,,,,,,1474.6,6,1474.6,0,9.7,0,20.07,0,1762.5," ,0",,,16.34,0,22.92,0,9.76,0,,
USC00049621,2001,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",1096.5,,1096.5,0,81,0,58,0,27,0,,,0,0,0,0,14,0,0,0,214,0,116,0,,,,,-1.1,"0,1205,+",,,0," ,0,1231,+",88.9," ,0,1129, ",43.3,"0,0809, ",1229.1,0,0,"0,1129",,,,,,,,,-0.6,"0,0404",,,,,,,1425.1,1,1425.1,0,,,,,1744," ,0",0," ,0",17,0,23.7,0,10.3,0,,
USC00049621,2002,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.4,4,1548.4, ,,,,,,,,,,,,,,,,
USC00049621,2003,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",1101.5,,1101.5,0,,,,,,,0,,5,0,0,0,17,0,0,0,185,0,105,0,,,,,-2.2,"0,1231, ",0," ,0,1231,+",76," ,0,0113, ",,,44.4,"0,0730, ",,,0,"0,1124",-2.2,"0,1231",,,,,,,-0.6,"0,0413",,,,,,,,,,,,,,,,,247," ,0",16.55,0,23.56,0,9.54,0,,
USC00049621,2004,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469,0,1469,0,,,,,,,,,,,,,,,,
